dataset_key,dataset_name,variant,action,candidate_mode,target_player_a,target_player_b,selected_order,model_a,model_b,winner,match_id,match_copy,outcome,influence,influence_abs,fitted_probability,residual,leverage,objective_value,row_uid
webdev_arena,WebDev Arena,drop,drop,,llama-v3.3-70b-instruct,claude-3-5-sonnet-20241022,0,gemini-1.5-pro-002,llama-v3.3-70b-instruct,1.0,7164,reverse,1.0,0.045828050277709316,0.045828050277709316,0.5486389629755883,0.45136103702441166,0.024761093348277512,-2.2993221764976695,17665
webdev_arena,WebDev Arena,drop,drop,,llama-v3.3-70b-instruct,claude-3-5-sonnet-20241022,1,qwen-2.5-coder-32b-instruct,llama-v3.3-70b-instruct,1.0,7539,reverse,1.0,0.04370349551326684,0.04370349551326684,0.5690440303432266,0.4309559696567734,0.024471818423983476,-2.2993221764976695,18040
webdev_arena,WebDev Arena,drop,drop,,llama-v3.3-70b-instruct,claude-3-5-sonnet-20241022,2,qwen-2.5-coder-32b-instruct,llama-v3.3-70b-instruct,1.0,9112,forward,1.0,0.04370349551326684,0.04370349551326684,0.5690440303432266,0.4309559696567734,0.024471818423983476,-2.2993221764976695,9112
webdev_arena,WebDev Arena,drop,drop,,llama-v3.3-70b-instruct,claude-3-5-sonnet-20241022,3,qwen-2.5-coder-32b-instruct,llama-v3.3-70b-instruct,1.0,6489,forward,1.0,0.04370349551326684,0.04370349551326684,0.5690440303432266,0.4309559696567734,0.024471818423983476,-2.2993221764976695,6489
webdev_arena,WebDev Arena,drop,drop,,llama-v3.3-70b-instruct,claude-3-5-sonnet-20241022,4,llama-v3.3-70b-instruct,qwen-2.5-coder-32b-instruct,0.0,7539,forward,0.0,0.04370349551326683,0.04370349551326683,0.4309559696567733,-0.4309559696567733,0.024471818423983473,-2.2993221764976695,7539
webdev_arena,WebDev Arena,drop,drop,,llama-v3.3-70b-instruct,claude-3-5-sonnet-20241022,5,llama-v3.3-70b-instruct,qwen-2.5-coder-32b-instruct,0.0,9112,reverse,0.0,0.04370349551326683,0.04370349551326683,0.4309559696567733,-0.4309559696567733,0.024471818423983473,-2.2993221764976695,19613
webdev_arena,WebDev Arena,drop,drop,,llama-v3.3-70b-instruct,claude-3-5-sonnet-20241022,6,llama-v3.3-70b-instruct,gpt-4o-2024-11-20,0.0,7711,forward,0.0,0.036196472394222266,0.036196472394222266,0.3574242925145829,-0.3574242925145829,0.022888214048235885,-2.2993221764976695,7711
webdev_arena,WebDev Arena,drop,drop,,llama-v3.3-70b-instruct,claude-3-5-sonnet-20241022,7,gpt-4o-2024-11-20,llama-v3.3-70b-instruct,1.0,7711,reverse,1.0,0.03619647239422226,0.03619647239422226,0.6425757074854171,0.35742429251458285,0.022888214048235885,-2.2993221764976695,18212
webdev_arena,WebDev Arena,drop,drop,,llama-v3.3-70b-instruct,claude-3-5-sonnet-20241022,8,gpt-4o-2024-11-20,llama-v3.3-70b-instruct,1.0,4596,forward,1.0,0.03619647239422226,0.03619647239422226,0.6425757074854171,0.35742429251458285,0.022888214048235885,-2.2993221764976695,4596
webdev_arena,WebDev Arena,drop,drop,,llama-v3.3-70b-instruct,claude-3-5-sonnet-20241022,9,llama-v3.3-70b-instruct,deepseek-v3,0.0,1815,reverse,0.0,0.035585749088542416,0.035585749088542416,0.35224910915579494,-0.35224910915579494,0.022981074741652337,-2.2993221764976695,12316
webdev_arena,WebDev Arena,drop,drop,,llama-v3.3-70b-instruct,claude-3-5-sonnet-20241022,10,deepseek-v3,llama-v3.3-70b-instruct,1.0,2089,reverse,1.0,0.03558574908854241,0.03558574908854241,0.6477508908442051,0.3522491091557949,0.02298107474165233,-2.2993221764976695,12590
webdev_arena,WebDev Arena,drop,drop,,llama-v3.3-70b-instruct,claude-3-5-sonnet-20241022,11,deepseek-v3,llama-v3.3-70b-instruct,1.0,1815,forward,1.0,0.03558574908854241,0.03558574908854241,0.6477508908442051,0.3522491091557949,0.02298107474165233,-2.2993221764976695,1815
