dataset_key,dataset_name,objective_key,variant,action,candidate_mode,order_mode,step,objective_value,variant_label,initial_value,delta_from_initial,normalized_value,plot_value
llm_judge_arena,Chatbot Arena LLM Judges,kendall_tau,drop,drop,,greedy,0,0.6457859129767275,Drop,0.6457859129767275,0.0,1.0,1.0
llm_judge_arena,Chatbot Arena LLM Judges,kendall_tau,drop,drop,,greedy,1,0.6455596171420924,Drop,0.6457859129767275,-0.00022629583463507075,0.9996495807200377,0.9996495807200377
llm_judge_arena,Chatbot Arena LLM Judges,kendall_tau,drop,drop,,greedy,2,0.6453247299649724,Drop,0.6457859129767275,-0.00046118301175512855,0.9992858577394026,0.9992858577394026
llm_judge_arena,Chatbot Arena LLM Judges,kendall_tau,drop,drop,,greedy,3,0.6454107548443945,Drop,0.6457859129767275,-0.00037515813233302,0.999419067333625,0.999419067333625
llm_judge_arena,Chatbot Arena LLM Judges,kendall_tau,drop,drop,,greedy,4,0.6451774267722474,Drop,0.6457859129767275,-0.0006084862044800632,0.999057758628281,0.999057758628281
llm_judge_arena,Chatbot Arena LLM Judges,kendall_tau,drop,drop,,greedy,5,0.6449482983530097,Drop,0.6457859129767275,-0.0008376146237177862,0.998702953088808,0.998702953088808
llm_judge_arena,Chatbot Arena LLM Judges,kendall_tau,drop,drop,,greedy,6,0.6447176211105506,Drop,0.6457859129767275,-0.0010682918661768515,0.9983457491953447,0.9983457491953447
llm_judge_arena,Chatbot Arena LLM Judges,kendall_tau,drop,drop,,greedy,7,0.6447953258441778,Drop,0.6457859129767275,-0.0009905871325497362,0.9984660750371843,0.9984660750371843
llm_judge_arena,Chatbot Arena LLM Judges,kendall_tau,drop,drop,,greedy,8,0.6445622979435268,Drop,0.6457859129767275,-0.0012236150332006757,0.9981052311476407,0.9981052311476407
llm_judge_arena,Chatbot Arena LLM Judges,kendall_tau,drop,drop,,greedy,9,0.6443325561328915,Drop,0.6457859129767275,-0.0014533568438359623,0.9977494757711007,0.9977494757711007
llm_judge_arena,Chatbot Arena LLM Judges,kendall_tau,drop,drop,,greedy,10,0.6443940636589933,Drop,0.6457859129767275,-0.0013918493177341729,0.9978447202242017,0.9978447202242017
llm_judge_arena,Chatbot Arena LLM Judges,kendall_tau,drop,drop,,greedy,11,0.6441679793567595,Drop,0.6457859129767275,-0.0016179336199679817,0.9974946285023311,0.9974946285023311
llm_judge_arena,Chatbot Arena LLM Judges,kendall_tau,drop,drop,,greedy,12,0.6439314059656026,Drop,0.6457859129767275,-0.001854507011124884,0.9971282944179185,0.9971282944179185
llm_judge_arena,Chatbot Arena LLM Judges,kendall_tau,drop,drop,,greedy,13,0.6437011596255076,Drop,0.6457859129767275,-0.0020847533512199368,0.9967717577771086,0.9967717577771086
llm_judge_arena,Chatbot Arena LLM Judges,kendall_tau,drop,drop,,greedy,14,0.6434643459591368,Drop,0.6457859129767275,-0.0023215670175906755,0.9964050516263362,0.9964050516263362
llm_judge_arena,Chatbot Arena LLM Judges,kendall_tau,drop,drop,,greedy,15,0.6432162238035463,Drop,0.6457859129767275,-0.0025696891731812332,0.9960208342710104,0.9960208342710104
llm_judge_arena,Chatbot Arena LLM Judges,kendall_tau,drop,drop,,greedy,16,0.6429564129742426,Drop,0.6457859129767275,-0.0028295000024849415,0.9956185169951409,0.9956185169951409
