dataset_key,dataset_name,objective_key,variant,action,candidate_mode,initial_value,greedy_final_value,random_final_value,greedy_steps_completed,random_steps_completed,initial_normalized_value,greedy_final_normalized_value,random_final_normalized_value
webdev_arena,WebDev Arena,kendall_tau,drop,drop,,0.7810248661679087,0.5379697154760995,0.7809443291644892,25,25,1.0,0.6887997281259981,0.9998968829202396
webdev_arena,WebDev Arena,kendall_tau,flip,flip,,0.7810248661679087,0.5303885997815547,0.7776115769802031,25,25,1.0,0.6790931028661117,0.9956297304534582
webdev_arena,WebDev Arena,kendall_tau,add_pairs,add,all_pairs,0.7810248661679087,0.7768095295654353,0.7855365040945707,25,25,1.0,0.994602813834653,1.005776561185303
webdev_arena,WebDev Arena,kendall_tau,add_outcomes,add,all_outcomes,0.7810248661679087,0.644675183844716,0.782363446482722,25,25,1.0,0.8254220982845385,1.0017138766930445
webdev_arena,WebDev Arena,kendall_tau,add_weighted,add,weighted,0.7810248661679087,0.6453551650689473,0.7701543057511114,25,25,1.0,0.8262927251412321,0.9860816718036988
webdev_arena,WebDev Arena,trace_uncertainty,drop,drop,,0.12738782195730947,0.12698917695088566,0.12737711534713173,25,25,,,
webdev_arena,WebDev Arena,trace_uncertainty,flip,flip,,0.12738782195730947,0.17357823165924818,0.12730343386576015,25,25,,,
webdev_arena,WebDev Arena,trace_uncertainty,add_pairs,add,all_pairs,0.12738782195730947,0.10805789925420642,0.12561192520992617,25,25,,,
webdev_arena,WebDev Arena,trace_uncertainty,add_outcomes,add,all_outcomes,0.12738782195730947,0.07371198066841862,0.1234908082198124,25,25,,,
webdev_arena,WebDev Arena,trace_uncertainty,add_weighted,add,weighted,0.12738782195730947,0.07372800310565042,0.11018030079081556,25,25,,,
