dataset_key,dataset_name,objective_key,variant,action,candidate_mode,initial_value,greedy_final_value,random_final_value,greedy_steps_completed,random_steps_completed,initial_normalized_value,greedy_final_normalized_value,random_final_normalized_value
llm_judge_arena,Chatbot Arena LLM Judges,kendall_tau,drop,drop,,0.6457859129767275,0.6422879087167552,0.6459742867826752,25,25,1.0,0.9945833376205927,1.000291696988371
llm_judge_arena,Chatbot Arena LLM Judges,kendall_tau,flip,flip,,0.6457859129767275,0.6348236948336304,0.6456889591563528,25,25,1.0,0.9830249964844121,0.9998498669320182
llm_judge_arena,Chatbot Arena LLM Judges,kendall_tau,add_pairs,add,all_pairs,0.6457859129767275,0.6423028870252073,0.6466089339360825,25,25,1.0,0.9946065315431467,1.0012744486103162
llm_judge_arena,Chatbot Arena LLM Judges,kendall_tau,add_outcomes,add,all_outcomes,0.6457859129767275,0.6357319068293086,0.6454139700632421,25,25,1.0,0.9844313634822486,0.9994240461025683
llm_judge_arena,Chatbot Arena LLM Judges,kendall_tau,add_weighted,add,weighted,0.6457859129767275,0.6362018573583165,0.6453865085146919,25,25,1.0,0.9851590822502868,0.9993815218727914
llm_judge_arena,Chatbot Arena LLM Judges,trace_uncertainty,drop,drop,,0.19721915785807134,0.19721350465996987,0.19735058551361323,25,25,,,
llm_judge_arena,Chatbot Arena LLM Judges,trace_uncertainty,flip,flip,,0.19721915785807134,0.19813522971694886,0.19719943616845376,25,25,,,
llm_judge_arena,Chatbot Arena LLM Judges,trace_uncertainty,add_pairs,add,all_pairs,0.19721915785807134,0.19242574225669412,0.19690199895925162,25,25,,,
llm_judge_arena,Chatbot Arena LLM Judges,trace_uncertainty,add_outcomes,add,all_outcomes,0.19721915785807134,0.1923071911994365,0.19687413040003052,25,25,,,
llm_judge_arena,Chatbot Arena LLM Judges,trace_uncertainty,add_weighted,add,weighted,0.19721915785807134,0.19264266154179993,0.19697220512029623,25,25,,,
